"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.970250917E0,-1.846877270E0,-1.170460546E-1,-3.453964319E0,3.918485032E0
2.980262917E0,-4.101763308E-1,2.811288661E-1,-4.235751085E0,4.264840597E0
2.990274917E0,8.887630382E-1,3.763618827E-1,-3.683106176E0,3.807468858E0
3.000285917E0,1.392183748E0,3.004901665E-1,-2.669575542E0,3.025740158E0
3.010297917E0,2.948785060E0,6.485959643E-1,-1.715185256E0,3.472444458E0
3.020309917E0,3.711340041E0,4.671480918E-1,-4.067266198E-1,3.762671761E0
3.030321917E0,4.324051058E0,-1.529707628E-1,1.025718570E0,4.446674734E0
3.040333917E0,4.322498623E0,-5.002480102E-1,1.986270067E0,4.783253202E0
3.050344917E0,3.670759487E0,-1.698122057E0,2.364095947E0,4.684767164E0
3.060356917E0,1.805482784E0,-3.928638362E0,2.822213598E0,5.163221578E0
3.070368917E0,-6.097815621E-1,-6.708106475E0,4.176308291E0,7.925407055E0
3.080380917E0,-2.468333675E0,-8.779469756E0,4.109762299E0,1.000309485E1
3.090392917E0,-2.929916387E0,-8.918570924E0,1.769924111E0,9.552902633E0
3.100403917E0,-2.618286398E0,-8.762384192E0,1.255323526E0,9.230960814E0
3.110415917E0,-3.039632665E0,-8.458179290E0,2.513735551E0,9.332686111E0
3.120427917E0,-2.898263070E0,-6.923993279E0,2.555396962E0,7.929165491E0
3.130439917E0,-1.584013644E0,-4.851920146E0,2.658857596E0,5.754976285E0
3.140451917E0,-1.681312774E0,-3.021735215E0,3.065166578E0,4.620924421E0
3.150462917E0,-2.189168012E0,-1.620870983E0,3.164309920E0,4.175228928E0
3.160474167E0,-2.681763479E0,-9.841308331E-1,2.510324577E0,3.802906564E0
